X,Y,Label
8684,19010,0
8023,17404,0
7495,17137,0
8070,17102,0
7983,18263,0
8073,17329,0
7822,17584,0
8108,17051,0
7920,17637,0
7838,17028,0
8253,18159,0
8610,17846,0
9529,17860,0
9237,19829,0
8078,16714,0
7807,18660,0
8336,16741,0
8205,17334,0
7483,17303,0
7450,16977,0
7284,16772,0
7037,18033,0
6921,17279,0
7416,18220,0
6914,17707,0
7527,17096,0
7225,16683,0
7103,18192,0
7161,17574,0
7474,16800,0
7512,18264,0
7533,18184,0
7104,17408,0
7543,18403,0
7506,18668,0
7561,18470,0
7325,17352,0
7419,18876,0
7844,20024,0
7826,18396,0
7445,18159,0
7335,17364,0
7572,18594,0
7483,17410,0
7922,19442,0
7485,17908,0
7794,18294,0
7951,17523,0
7440,17747,0
7260,18907,0
7595,18590,0
7074,17695,0
6830,18472,0
6989,17778,0
7155,18280,0
7682,17811,0
7042,17480,0
7116,18386,0
7227,17487,0
7180,18184,0
7264,17954,0
7282,17560,0
7379,17971,0
7282,18012,0
7011,18062,0
7439,18585,0
7284,18238,0
7376,17886,0
7476,18832,0
7412,17221,0
7380,19199,0
7539,18285,0
7365,19313,0
8031,18664,0
7595,18379,0
7259,17612,0
7644,18331,0
7929,18947,0
8018,18126,0
7914,19022,0
8496,19844,0
8115,19280,0
8869,18216,0
8796,18903,0
9950,20535,0
10107,19086,0
11312,20374,0
10481,19398,0
9535,19586,0
10626,19800,0
10570,20877,0
10181,19507,0
9953,19277,0
11110,20005,0
10792,20060,0
10546,20683,0
9933,21490,0
9767,19673,0
9802,19963,0
8835,18800,0
9184,19734,0
8859,20625,0
9472,19279,0
9568,20314,0
9122,19926,0
8973,18395,0
8900,19223,0
9395,19526,0
9221,18493,0
9066,20145,0
8589,19424,0
9759,18706,0
9730,20111,0
9507,19389,0
9678,19637,0
9297,18480,0
9308,19103,0
9398,20106,0
9418,19527,0
9106,19905,0
9957,20080,0
9815,19270,0
9614,19535,0
10568,19722,0
11874,19487,0
12709,20640,0
12632,20983,0
12624,21412,0
12185,21533,0
12124,20744,0
11313,21194,0
11771,21502,0
11611,20606,0
11403,20215,0
11137,21082,0
10767,18853,0
11288,21459,0
11018,20027,0
10874,19550,0
10797,20307,0
10782,21131,0
11199,20154,0
11958,20962,0
11520,20481,0
11117,21138,0
11220,19658,0
10912,20461,0
10610,21007,0
10801,19557,0
11335,20671,0
10965,20061,0
11797,19435,0
12056,21362,0
11415,20867,0
11746,20474,0
12151,21257,0
11791,21392,0
12605,20795,0
12926,21448,0
13102,20649,0
13224,21939,0
14396,22420,0
14797,20652,0
14548,22108,0
14422,23013,0
14027,21182,0
13127,20816,0
12911,20856,0
13549,21080,0
12794,22245,0
11888,22031,0
12602,21706,0
12166,20034,0
10157,20302,0
10154,20441,0
10303,19954,0
9862,20489,0
10502,20911,0
10165,20703,0
11398,20901,0
10472,19421,0
10456,20033,0
10352,19828,0
10187,20116,0
9774,19057,0
9829,19331,0
9283,20429,0
9395,19686,0
9194,19652,0
9080,20297,0
10163,20746,0
9936,19533,0
10026,20139,0
9446,19590,0
9749,20111,0
9876,21233,0
9225,18491,0
9832,19688,0
9666,19919,0
9297,21034,0
9507,19981,0
9705,21256,0
8951,20646,0
9204,20758,0
10083,20529,0
9214,18989,0
9503,20392,0
9980,21087,0
10113,20093,0
9548,20091,0
9322,20851,0
10202,19244,0
9333,19708,0
10023,19673,0
10279,20562,0
10348,21512,0
10068,21066,0
10087,20650,0
10306,19205,0
10372,21011,0
10059,20310,0
10177,21057,0
10526,20561,0
10818,21811,0
10871,21008,0
10698,19799,0
11803,20793,0
10984,20583,0
11006,20910,0
11094,20390,0
10866,20784,0
11778,21411,0
11935,21784,0
11170,20873,0
11216,21371,0
10964,21322,0
10756,19858,0
10968,20260,0
11610,19651,0
11697,20296,0
11439,20393,0
11693,20273,0
10673,19168,0
9954,19256,0
9499,19306,0
9068,19841,0
9467,19845,0
9101,20214,0
8792,19186,0
8906,19091,0
9005,18277,0
9016,18567,0
8143,19711,0
8789,19193,0
8488,18410,0
8697,20045,0
8411,18088,0
8894,18162,0
9347,18911,0
8577,18755,0
9115,18649,0
8408,19658,0
8890,18541,0
9438,20574,0
8577,19572,0
8988,19629,0
8723,19859,0
8936,18033,0
8560,18905,0
8663,19220,0
9049,19039,0
8524,19066,0
9881,18463,0
9225,19145,0
9460,20184,0
9889,18448,0
9217,19217,0
9547,19906,0
8927,18269,0
8355,17428,0
8463,19098,0
8871,17819,0
8688,18175,0
7674,18297,0
8178,18494,0
7312,17759,0
7548,17942,0
7419,17076,0
7312,17877,0
7400,18485,0
7585,18504,0
